,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,0.009086296,0.009028897,0.010894343,0.014571413,0.019934729,0.02688925,0.035389617,0.04540278,0.056790948,0.06915201,0.08172287,0.093460545,0.103316516,0.11055903,0.11495805,0.11675716,0.11650391,0.11485348,0.11242295,0.10971332,0.1070895,0.104787074,0.10293898,0.101598725,0.100767605,0.10041101,0.100474775,0.10089537,0.10160671,0.10254518,0.10365209,0.10487494,0.10616851,0.10749424,0.108820945,0.11012247,0.11137869,0.11257438,0.113697134,0.11473978,0.11569659,0.1165645,0.11734306,0.11803218,0.118634075,0.11915123,0.119587004,0.1199455,0.120230526,0.120447285,0.12060015,0.1206938,0.120732814,0.120722346,0.12066661,0.12057027,0.120437354,0.120272174,0.12007845,0.11986044,0.11962112,0.11936427,0.11909327,0.11881079,0.11852001,0.11822325,0.117923446,0.11762282,0.117323436,0.11702761,0.11673723,0.116454236,0.11617999,0.115916505,0.115665,0.115426674,0.11520305,0.11499528,0.11480398,0.11463103,0.11447654,0.11434159,0.114227176,0.114133626,0.11406146,0.11401187,0.113984704,0.11398081,0.11400041,0.114043966,0.11411159,0.11420384,0.11432038,0.11446223,0.114628606,0.1148205,0.1150372,0.11527921,0.11554645,0.1158392
11,0.006021872,0.0058474094,0.0076385885,0.011286363,0.016639277,0.023544446,0.031889394,0.04162179,0.05270855,0.06501709,0.078155234,0.091371015,0.103634164,0.11390959,0.1214779,0.1261218,0.12809584,0.1279586,0.12637493,0.12396999,0.121253006,0.11859488,0.116237305,0.1143176,0.11289446,0.11197139,0.11151744,0.11148114,0.11180044,0.1124116,0.11325225,0.11426442,0.11539687,0.11660525,0.11785133,0.11910379,0.12033732,0.121531695,0.122671686,0.123745374,0.12474459,0.12566414,0.1265009,0.12725379,0.12792265,0.12850924,0.1290164,0.12944663,0.1298044,0.1300931,0.13031712,0.13048092,0.13058916,0.13064602,0.13065623,0.13062438,0.13055389,0.13044922,0.13031495,0.1301538,0.12996984,0.12976655,0.1295473,0.1293146,0.12907162,0.12882149,0.12856606,0.12830827,0.12805018,0.12779374,0.12754136,0.12729456,0.12705499,0.12682448,0.12660448,0.12639615,0.12620114,0.12602048,0.12585515,0.12570634,0.1255747,0.12546125,0.12536699,0.12529224,0.12523788,0.12520452,0.1251927,0.1252028,0.1252351,0.12529022,0.1253683,0.12546982,0.12559485,0.1257436,0.1259164,0.12611331,0.12633435,0.12657969,0.1268492,0.1271432
12,0.0030990988,0.002782628,0.0044576675,0.008031502,0.013355717,0.020250246,0.028545752,0.03812261,0.048928455,0.060935363,0.07402049,0.0878029,0.10154362,0.11422615,0.124827236,0.1326407,0.13745971,0.13954996,0.13947965,0.13792181,0.13550928,0.13275833,0.1300448,0.1276156,0.1256127,0.12409742,0.12307733,0.12252303,0.12238538,0.12260484,0.12311791,0.123863935,0.12478578,0.12583303,0.12696122,0.12813328,0.12931754,0.13048944,0.13162813,0.13271871,0.13374911,0.13471106,0.1355994,0.13641042,0.13714279,0.13779667,0.13837363,0.1388753,0.13930477,0.13966568,0.13996166,0.14019698,0.14037536,0.14050141,0.14057913,0.14061293,0.14060709,0.14056513,0.14049155,0.14038935,0.14026275,0.1401148,0.1399487,0.1397677,0.13957486,0.1393727,0.13916345,0.13895056,0.1387353,0.13852009,0.13830708,0.13809809,0.13789488,0.13769904,0.13751203,0.13733527,0.13717023,0.13701817,0.1368799,0.13675675,0.13664961,0.13655901,0.13648626,0.13643177,0.13639644,0.1363807,0.1363852,0.13641039,0.13645676,0.13652466,0.13661444,0.13672619,0.1368608,0.1370176,0.13719766,0.13740106,0.13762736,0.13787664,0.1381493,0.1384458
13,0.00032301247,-0.00014065206,0.0013934225,0.004851863,0.010102555,0.016968235,0.025253043,0.03478028,0.0454302,0.05715613,0.06993897,0.08366801,0.097975,0.11213459,0.12514275,0.1359889,0.14397798,0.14891358,0.15107097,0.15102634,0.14946114,0.14701425,0.14420782,0.14142278,0.13891046,0.13681528,0.13520277,0.13408224,0.13342698,0.13318907,0.13331054,0.13372904,0.13438463,0.13522106,0.13618818,0.13724229,0.13834623,0.13946873,0.1405848,0.14167416,0.14272147,0.14371443,0.14464523,0.14550772,0.14629844,0.14701577,0.1476597,0.14823096,0.14873207,0.14916492,0.1495336,0.1498405,0.15009016,0.15028667,0.15043366,0.15053493,0.15059523,0.15061776,0.15060663,0.15056549,0.1504977,0.1504071,0.15029627,0.1501689,0.15002775,0.14987549,0.14971441,0.14954752,0.1493769,0.14920434,0.1490328,0.14886323,0.14869815,0.14853832,0.14838612,0.14824262,0.1481092,0.14798722,0.14787765,0.14778152,0.14769985,0.14763351,0.1475839,0.147551,0.14753571,0.14753895,0.14756101,0.14760254,0.1476641,0.1477457,0.14784846,0.147972,0.14811681,0.14828348,0.14847188,0.148682,0.14891456,0.14916922,0.14944614,0.14974566
14,-0.0023149997,-0.0029168278,-0.0015290827,0.001789555,0.0069250315,0.013717368,0.021972999,0.03148909,0.04208882,0.05365856,0.06616019,0.07958664,0.093839824,0.108565226,0.12305011,0.13630326,0.14732519,0.15543106,0.1604341,0.16261764,0.16256566,0.16096592,0.15846416,0.15558587,0.15271729,0.15011302,0.14792043,0.14620757,0.14498588,0.14423022,0.14389451,0.14392099,0.14424911,0.14481917,0.14557575,0.14646873,0.14745459,0.14849651,0.14956345,0.1506299,0.15167601,0.15268588,0.15364748,0.15455264,0.15539469,0.15617023,0.15687765,0.15751624,0.1580869,0.1585912,0.15903178,0.15941136,0.1597331,0.16000079,0.16021782,0.16038845,0.16051635,0.160605,0.16065829,0.16067976,0.16067313,0.16064143,0.16058798,0.16051611,0.16042848,0.1603278,0.16021653,0.1600978,0.15997355,0.15984608,0.15971705,0.15958875,0.15946288,0.159341,0.15922515,0.15911637,0.15901604,0.15892558,0.15884592,0.15877844,0.15872379,0.1586836,0.15865816,0.158648,0.15865442,0.15867789,0.15871875,0.15877794,0.15885599,0.1589528,0.15906915,0.15920562,0.15936229,0.15953921,0.159737,0.15995573,0.16019543,0.1604564,0.1607385,0.16104215
15,-0.004831925,-0.0055556446,-0.0043042153,-0.0011309832,0.0038649589,0.010542408,0.018724516,0.028210983,0.03879915,0.050318107,0.06266318,0.07580839,0.08975871,0.104429856,0.11948007,0.13420938,0.14763814,0.15877727,0.1669508,0.1719804,0.17415708,0.17407103,0.17241612,0.16984227,0.16688049,0.1639197,0.1612178,0.15892501,0.15711093,0.15578878,0.15493515,0.15450451,0.15444067,0.15468328,0.15517348,0.15585548,0.15668023,0.1576041,0.15859018,0.1596074,0.1606305,0.16163933,0.16261788,0.16355361,0.16443834,0.16526555,0.16603114,0.16673315,0.167371,0.16794516,0.168457,0.1689087,0.16930278,0.16964273,0.16993104,0.1701723,0.17036904,0.17052539,0.17064476,0.17073067,0.17078663,0.170816,0.17082179,0.17080693,0.1707746,0.17072773,0.17066844,0.17059971,0.17052339,0.17044225,0.17035788,0.17027257,0.17018785,0.17010573,0.17002763,0.1699552,0.16988942,0.16983217,0.1697841,0.16974671,0.16972087,0.16970749,0.16970776,0.16972196,0.16975135,0.16979627,0.16985738,0.16993561,0.17003115,0.17014456,0.17027621,0.17042638,0.17059575,0.17078428,0.17099273,0.17122072,0.17146882,0.17173712,0.17202543,0.1723343
16,-0.0072454363,-0.008072719,-0.0069419593,-0.0039040595,0.0009473413,0.0074855834,0.015552744,0.024965093,0.03552319,0.04702972,0.059323654,0.07231195,0.08598082,0.10034914,0.115344614,0.13063882,0.14554337,0.1590891,0.17029603,0.17849673,0.1835197,0.18566275,0.18552159,0.1837952,0.18113741,0.17808329,0.1750249,0.17222245,0.16982818,0.16791375,0.16649318,0.1655448,0.16502373,0.16487421,0.16503683,0.16545251,0.16606617,0.166829,0.16769706,0.16863357,0.1696073,0.17059304,0.17157033,0.17252292,0.17343846,0.17430821,0.17512523,0.17588542,0.17658705,0.17722824,0.17780961,0.17833264,0.1787992,0.17921156,0.17957227,0.17988451,0.18015185,0.18037723,0.18056439,0.18071659,0.18083696,0.1809289,0.18099566,0.18104021,0.18106525,0.18107356,0.18106802,0.18105097,0.18102466,0.18099155,0.18095388,0.18091309,0.18087126,0.18083037,0.1807918,0.18075727,0.1807278,0.18070519,0.18069015,0.18068445,0.18068872,0.180704,0.18073116,0.18077135,0.18082471,0.18089305,0.18097563,0.18107383,0.18118839,0.18131933,0.18146755,0.1816331,0.1818163,0.18201761,0.18223749,0.18247625,0.18273352,0.18301004,0.18330583,0.18362097
17,-0.009569958,-0.010486618,-0.009458378,-0.0065398365,-0.0018229932,0.004571274,0.012499347,0.021796629,0.032280073,0.043755695,0.056036547,0.06897302,0.08248471,0.09657107,0.1112638,0.12650332,0.14197223,0.15699364,0.17060688,0.18184114,0.19003582,0.19502561,0.19711359,0.19690108,0.19509092,0.19234106,0.189189,0.18603002,0.18312585,0.18063103,0.17861822,0.17710288,0.17606394,0.17545703,0.17522722,0.17531551,0.17566277,0.17621447,0.17692108,0.17773971,0.17863242,0.17956902,0.1805231,0.18147466,0.1824068,0.18330744,0.18416686,0.1849788,0.18573813,0.18644316,0.18709183,0.18768473,0.18822242,0.18870662,0.18913989,0.18952453,0.18986318,0.19015935,0.19041555,0.19063543,0.19082211,0.1909787,0.19110818,0.1912136,0.19129784,0.19136335,0.1914134,0.19144985,0.19147547,0.19149248,0.19150285,0.19150843,0.1915115,0.19151336,0.19151619,0.19152114,0.19152956,0.19154324,0.19156301,0.19159037,0.1916262,0.1916715,0.1917272,0.19179468,0.19187395,0.19196601,0.19207184,0.19219157,0.19232628,0.19247645,0.19264208,0.19282405,0.19302256,0.19323786,0.1934705,0.19372077,0.19398855,0.1942748,0.19457851,0.19490103
18,-0.011815444,-0.012812093,-0.01187174,-0.009054914,-0.0044561177,0.0018039495,0.009588733,0.018746957,0.029114708,0.04051535,0.05276452,0.065687075,0.07914631,0.0930752,0.107485905,0.12242268,0.13783689,0.1534218,0.16851062,0.18215127,0.19337958,0.20154124,0.2064769,0.20849393,0.20819797,0.2062952,0.20344767,0.20019476,0.19693409,0.19392918,0.19133578,0.1892277,0.18762185,0.18649685,0.18580972,0.18550561,0.18552525,0.1858104,0.1863062,0.18696317,0.18773787,0.18859355,0.18949829,0.19042672,0.19135772,0.1922746,0.19316527,0.19401924,0.1948304,0.1955935,0.19630574,0.19696571,0.19757329,0.19812907,0.19863431,0.19909161,0.19950233,0.19986987,0.20019665,0.20048596,0.20074019,0.20096311,0.20115696,0.20132536,0.20147052,0.2015954,0.20170249,0.20179468,0.20187403,0.20194289,0.20200308,0.20205714,0.20210645,0.20215301,0.2021987,0.20224488,0.20229307,0.20234463,0.20240073,0.2024628,0.20253183,0.20260872,0.20269462,0.20279069,0.20289703,0.20301493,0.20314506,0.20328753,0.20344397,0.20361416,0.2037987,0.20399836,0.20421325,0.2044439,0.20469017,0.2049534,0.20523283,0.20552927,0.20584299,0.20617385
19,-0.013986811,-0.015058532,-0.014196888,-0.011466548,-0.0069687515,-0.00082589686,0.006825164,0.015840158,0.026068762,0.03735347,0.049526587,0.06241651,0.07586108,0.08973734,0.10399039,0.11864509,0.1337563,0.14928663,0.16493894,0.18005432,0.19368877,0.20488463,0.21299288,0.2178576,0.21979174,0.21940346,0.2174031,0.21445431,0.2110997,0.20773776,0.20463426,0.20194568,0.19974677,0.19805492,0.19684948,0.19608785,0.19571517,0.19567244,0.1959016,0.1963474,0.19696078,0.19769809,0.19852202,0.1994008,0.20030876,0.20122458,0.20213167,0.20301671,0.20386998,0.20468429,0.2054552,0.20617874,0.20685363,0.20747912,0.20805587,0.20858511,0.20906858,0.20950809,0.2099065,0.21026586,0.21058989,0.21088052,0.21114065,0.21137358,0.21158175,0.21176769,0.21193421,0.21208364,0.21221845,0.21234077,0.21245289,0.21255714,0.21265453,0.21274789,0.21283798,0.21292725,0.21301654,0.21310788,0.2132017,0.21330015,0.21340379,0.213514,0.21363145,0.21375744,0.2138926,0.21403751,0.21419318,0.21436046,0.21453981,0.21473135,0.21493636,0.21515487,0.21538723,0.21563444,0.21589617,0.21617298,0.21646552,0.2167737,0.21709771,0.21743792
